name,surname,role,link
Siegfried,Alberton,Innovation Management,https://ch.linkedin.com/in/siegfried-alberton-5936691
Massimo,Banzi,Connected Products,https://www.linkedin.com/in/massimobanzi
Giorgio,Baresi,UX/UI;Service Design,https://www.linkedin.com/in/giorgiobaresi
Enrico,Bassi,Digital Fabrication,https://it.linkedin.com/in/enricobassi
Leandro,Bitetti,Business Entrepreneurship,https://ch.linkedin.com/in/leandro-bitetti-b3aa5a75
Laura,Bordin,UX/UI;Service Design,https://it.linkedin.com/in/laurabordin/it
Dario,Buzzini,Interaction Design,https://it.linkedin.com/in/dariobuzzini
Serena, Cangiano,XI;Open Design, https://ch.linkedin.com/in/serena-cangiano-73a1898
Ubi,de Feo,Physical Computing,https://www.linkedin.com/in/ubidefeo/it
Antonio,De Pasquale,UX/UI;Service Design,https://it.linkedin.com/in/antoniodepasquale/it
Fabio,Franchino,Computational Design,https://www.linkedin.com/in/abusedmedia
Andreas,Gysin,Processing,https://ch.linkedin.com/in/andreasgysin
Andrea,Huber,Entrepreneurship,https://ch.linkedin.com/in/andrea-huber-66024229
Bill,Keays,Interactive Environments,https://ch.linkedin.com/in/bill-keays-5153149
Laura,Licari,UX/UI;Service Design,https://it.linkedin.com/in/lauralicari
Giorgio,Olivero,Interaction Design,https://hk.linkedin.com/in/giorgioolivero/it
Innocenzo,Rifino,Connected Interactive Products,https://it.linkedin.com/in/innocenzo-rifino-359a72/it
Lorenzo,Romagnoli,Interaction Design,https://it.linkedin.com/in/diego-rossi-b5b8081b
Diego,Rossi,Connected Interactive Products,https://it.linkedin.com/in/diego-rossi-b5b8081b/it
Roberta,Tassi,UX/UI;Service Design,https://it.linkedin.com/in/robertatassi
