name,surname,role,link
Thomas,Amberg,Yaler,https://ch.linkedin.com/in/thomasamberg
Andrea,Anner,AnnerPerrin,http://www.andreaanner.ch/
Ramun,Berger,89grad,https://ch.linkedin.com/in/ramunhofmann
David,Boardman,IDEO,https://www.linkedin.com/in/davidboardman/it
Thibault,Brevet,Thibault.io,https://de.linkedin.com/in/thibault-brevet-b933606b
Gianluca,Brugnoli,frogdesign,https://it.linkedin.com/in/gianlucabrugnoli/it
Gerhard,Buurman,ZHdK,https://ch.linkedin.com/in/gbuurman
Dario,Buzzini,IDEO,https://it.linkedin.com/in/dariobuzzini
Paolo,Ciuccarelli,Density Design - Politecnico di Milano,https://it.linkedin.com/in/paolociuccarelli
Gillian,Crampton-Smith,University Iuav of Venice,https://it.linkedin.com/in/gillian-crampton-smith-27930b/it
Antonio,De Pasquale,frogdesign,https://it.linkedin.com/in/antoniodepasquale/it
Marc,Dusseiller,Hackteria,https://ch.linkedin.com/in/dusseiller
Guillermina,Fabiola Noel,University Iuav of Venice,https://ca.linkedin.com/in/guillermina-noel-428208b2/it
Jozeph,Forakis,Joseph Forakis Design,https://www.linkedin.com/in/jozephforakis
Karmen,Franinovic,ZHdK,https://ch.linkedin.com/in/karmenfraninovic/it
Jorge,Frascara,University Iuav of Venice,https://it.linkedin.com/in/jorge-frascara-32105b13/it
Urs,Gaudenz,Gaudilabs,http://www.gaudi.ch/GaudiLabs/?page_id=50
Maurizio,Gnot,Studio Gnot,https://it.linkedin.com/in/maurizio-gnot-b304aa/it
Varvara,Guljajeva,VarvaraGuljajeva&MarCanet,https://www.linkedin.com/in/varvara-guljajeva-61021359/it
Tom,Igoe,ITP,http://tigoe.net/resume.php
Oleg,Lavrovsky,Opendata.ch,https://ch.linkedin.com/in/loleg/it
Fabrizio,Lo Presti,Accenture,https://it.linkedin.com/in/fabriziolopresti
Mariam,Mahdavi,Lift conference,https://ch.linkedin.com/in/mariam-mahdavi-53519913/it
Claudia,Marais,Critical Media Lab FHNW,http://www.claudia-mareis.ch/
Andreas,Markdalen,frogdesign,https://www.linkedin.com/in/amarkdalen/it
Luca,Mascaro,Sketchin,https://ch.linkedin.com/in/lucamascaro/it
Giulio,Masotti,Woodskin,https://it.linkedin.com/in/giulio-masotti-75a8703b
Alessandro,Masserdotti,dotdotdot,https://it.linkedin.com/in/alessandro-masserdotti-2524266/it
Alvise,Mattozzi,Unibz,https://www.unibz.it/en/design-art/people/StaffDetails.html?personid=11597&hstf=11597
Viviana,Narotzky,Universitat Pompeu Fabra - UPF,https://uk.linkedin.com/in/vnarotzky/it
Nicolas,Nova,Near future laboratory,https://ch.linkedin.com/in/nicolasnova/it
Klaus,Obermaier,Exile.at,https://at.linkedin.com/in/klaus-obermaier-9b07791a/it
Sibylle,Omlin,ECAV,https://ch.linkedin.com/in/sibylle-omlin-a5879319/it
Guido,Parlato,frogdesign,https://it.linkedin.com/in/higui/it
Martina,Perrin,AnnerPerrin,https://ch.linkedin.com/in/martina-perrin-a93610b9
Andy,Polaine,Fjord,https://au.linkedin.com/in/apolaine
Simone,Rebaudengo,Automato Farm,https://cn.linkedin.com/in/simonerebaudengo
Cristina,Riesen,Evernote,https://ch.linkedin.com/in/cristinariesen/it
Innocenzo,Rifino,Digital Habits,https://it.linkedin.com/in/innocenzo-rifino-359a72/it
Davide,Rocchesso,University Iuav of Venice,http://unipa.academia.edu/DavideRocchesso
Franco,Rolle,N03!,https://it.linkedin.com/in/franco-rolle-a8311734
Zoe,Romano,WeMake,https://it.linkedin.com/in/zoeromano/it
Diego,Rossi,Digital Habits,https://it.linkedin.com/in/diego-rossi-b5b8081b/it
Daniel,Sciboz,HEAD Geneve,https://ch.linkedin.com/in/danielsciboz/it
Fabio,Sergio,frogdesign,https://it.linkedin.com/in/fabiosergio/it
Andreas,Simon,FHNW,https://ch.linkedin.com/in/simonandreas/it
Bruce,Sterling,Casa Jasmina,http://brucesterling.tumblr.com/
Satomi,Sugiyama,Franklin University,https://ch.linkedin.com/in/satomi-sugiyama-47038614/it
Luca,Triacca,YourInterface,https://ch.linkedin.com/in/lucatriacca/it
Peter,Troxler,hogeschool rotterdam,https://nl.linkedin.com/in/petertroxler/it
Roberto,Vitalini,Bashiba,https://ch.linkedin.com/in/bashiba/it
Michel,Vust,Pro Helvetia,https://ch.linkedin.com/in/michel-vust-33404812
Benjamin,Wiederkehr,Interactive Things,https://ch.linkedin.com/in/benjaminwiederkehr
Jan-Christoph,Zoels,Experientia,https://it.linkedin.com/in/janchristophzoels/it
